dia,colonia_A,colonia_B,colonia_C,nascimentos,mortes,folhas,frutos
1,41,41,41,0,0,100.0,50.0
2,41,41,41,0,0,100.0,50.0
3,41,41,41,0,0,100.0,50.0
4,41,41,41,0,0,100.0,50.0
5,41,41,41,0,0,100.0,50.0
6,41,41,41,0,0,100.0,50.0
7,41,41,41,0,0,100.0,50.0
8,41,41,41,0,0,100.0,50.0
9,41,41,41,0,0,100.0,50.0
10,41,41,41,0,0,100.0,50.0
11,41,41,41,0,0,100.0,50.0
12,41,41,41,0,0,100.0,50.0
13,41,41,41,0,0,100.0,50.0
14,41,41,41,0,0,100.0,50.0
15,41,41,41,0,0,100.0,50.0
16,41,41,41,0,0,100.0,50.0
17,41,41,41,0,0,100.0,50.0
18,41,41,41,0,0,100.0,50.0
19,41,41,41,0,0,100.0,50.0
20,41,41,41,0,0,100.0,50.0
21,41,41,41,0,0,100.0,50.0
22,41,41,41,0,0,100.0,50.0
23,41,41,41,0,0,100.0,50.0
24,41,41,41,0,0,100.0,50.0
25,41,41,41,0,0,100.0,50.0
26,41,41,41,0,0,100.0,50.0
27,41,41,41,0,0,100.0,50.0
28,41,41,41,0,0,100.0,50.0
29,41,41,41,0,0,100.0,50.0
30,41,41,41,0,0,100.0,50.0
31,61,57,61,56,0,100.0,50.0
32,61,58,61,57,0,100.0,50.0
33,61,59,61,58,0,100.0,50.0
34,61,59,61,58,0,100.0,50.0
35,61,59,61,58,0,100.0,50.0
36,61,59,61,58,0,100.0,50.0
37,61,59,61,58,0,100.0,50.0
38,61,60,61,59,0,100.0,50.0
39,61,60,61,59,0,100.0,50.0
40,61,60,61,59,0,100.0,50.0
41,61,60,61,59,0,100.0,50.0
42,61,60,61,59,0,100.0,50.0
43,61,60,61,59,0,100.0,50.0
44,61,61,61,60,0,100.0,50.0
45,61,61,61,60,0,100.0,50.0
46,61,61,61,60,0,100.0,50.0
47,61,61,61,60,0,100.0,50.0
48,61,61,61,60,0,100.0,50.0
49,61,61,61,60,0,100.0,49.3
50,61,61,61,60,0,100.0,47.599999999999994
51,61,61,61,60,0,100.0,46.89999999999999
52,61,61,61,60,0,100.0,43.19999999999999
53,61,61,61,60,0,100.0,34.499999999999986
54,61,61,61,60,0,100.0,23.799999999999986
55,61,61,61,60,0,100.0,12.099999999999987
56,61,61,61,60,0,97.0,0.3999999999999872
57,61,61,61,60,0,79.0,0.6999999999999872
58,61,61,61,60,0,57.0,0.9999999999999871
59,61,61,61,60,0,30.0,1.2999999999999872
60,61,61,61,60,0,1.0,0.5999999999999872
61,61,61,61,60,0,1.0,0.8999999999999873
62,61,61,61,60,0,1.0,1.1999999999999873
63,61,61,61,60,0,1.0,0.4999999999999873
64,61,61,61,60,0,1.0,0.7999999999999873
65,61,61,61,60,0,1.0,1.0999999999999872
66,61,61,61,60,0,1.0,0.3999999999999872
67,61,61,61,60,0,1.0,0.6999999999999872
68,61,61,61,60,0,1.0,0.9999999999999871
69,61,61,61,60,0,1.0,1.2999999999999872
70,61,61,61,60,0,1.0,0.5999999999999872
71,67,67,67,78,0,1.0,0.8999999999999873
72,71,68,70,86,0,1.0,1.1999999999999873
73,72,69,71,89,0,1.0,0.4999999999999873
74,72,69,72,90,0,1.0,0.7999999999999873
75,73,70,72,92,0,1.0,1.0999999999999872
76,73,70,72,92,0,1.0,0.3999999999999872
77,73,70,72,92,0,1.0,0.6999999999999872
78,74,71,72,94,0,1.0,0.9999999999999871
79,74,72,73,96,0,1.0,1.2999999999999872
80,74,72,73,96,0,1.0,0.5999999999999872
81,74,72,73,96,0,1.0,0.8999999999999873
82,74,72,73,96,0,1.0,1.1999999999999873
83,74,72,74,97,0,1.0,0.4999999999999873
84,75,72,74,98,0,1.0,0.7999999999999873
85,75,72,75,99,0,1.0,1.0999999999999872
86,75,72,75,99,0,1.0,0.3999999999999872
87,75,72,75,99,0,1.0,0.6999999999999872
88,75,73,75,100,0,1.0,0.9999999999999871
89,75,73,75,100,0,1.0,1.2999999999999872
90,75,73,75,100,0,1.0,0.5999999999999872
91,75,73,75,100,0,1.0,0.8999999999999873
92,75,73,75,100,0,1.0,1.1999999999999873
93,75,73,75,100,0,1.0,0.4999999999999873
94,75,73,75,100,0,1.0,0.7999999999999873
95,75,73,75,100,0,1.0,1.0999999999999872
96,75,73,75,100,0,1.0,0.3999999999999872
97,75,74,75,101,0,1.0,0.6999999999999872
98,75,75,75,102,0,1.0,0.9999999999999871
99,75,75,75,102,0,1.0,1.2999999999999872
100,75,75,75,102,0,1.0,0.5999999999999872
101,76,76,75,104,0,1.0,0.8999999999999873
102,76,76,76,105,0,1.0,1.1999999999999873
